imdbId,title,tags
tt0307116,maa tujhhe salaam,"action drama sunnydeol tabu arbaazkhan tinnuverma tinnuverma bollywood superstar sunny deol plays maj. pratap singh, who's in command of an indian battalion guarding his country's border with pakistan in this action-packed thriller from director tinnu verma. when singh's girlfriend -- intelligence agent sonia khanna (tabu) -- informs him that self-styled pakistani leader lala aims to rule kashmir as a sovereign state, singh finds an unexpected ally in a mercenary (arbaaz khan) once loyal to lala."
tt0307682,yeh dil aashiqanaa,action romance jividhasharma mohanazaad arunbakshi rajatbedi sandeshkohli yeh dil ashiqana is the story of karan and pooja who are studying in the same college in poona. they meet and fall in love and their romance progresses without any problems until one day while going to her brother's house in mumbai.
tt0307866,filhaal...,"drama tabu sushmitasen sanjaysuri palashsen meghnagulzar rewa singh (tabu) and sia sheth (sushmita sen) are best friends. having grown up together, the pair are inseparable and are always there for each other. they are very different when it comes to marriage and commitment."
tt0308347,haan maine bhi pyaar kiya,"musical romance akshaykumar karismakapoor abhishekbachchan kaderkhan dharmeshdarshan shiv (abhishek bachchan) and pooja (karisma kapoor) are happily married to each other but sometimes can get into the most petty arguments coming from the way they approach life. shiv takes each day as it comes whilst pooja's imagination sometimes gets the best of her. pooja falls in love with shiv so much that she gives up her high rising career for him and settles as a housewife. their in-difference gets worse and pooja is soon convinced that shiv has been unfaithful. pooja asks for a divorce and leaves him. she carries on with life and meets raj (akshay kumar). raj has everything anyone could ask for: money, fame but not love something he has craved for some time. he falls for pooja and she also begins to like him. they get engaged and as the wedding approaches, shiv re-enters pooja's life. old feelings and emotions come rushing back and she finds herself torn between two men. who does she choose...?"
tt0309087,yeh mohabbat hai,"action romance akankshamalhotra rahulbhat nasirkhan pinkycampbell umeshmehra this story revolves around two lovebirds chand and shaheen. there appear to be no complications to the lovebirds marriage, however, chand is asked to gather together a team to play cricket. chand's naivety is taken advantage of by a group of terrorists, and ultimately chand becomes involved with terrorists group, and police inspector chauthe (sadashiv amrapurkar) claims that he has sufficient evidence to convict chand. shaheen believes chand is innocent, and sets out to prove his innocence."
tt0310254,tumko na bhool paayenge,"action drama mystery salmankhan sushmitasen diamirza sharatsaxena pankajparashar an amnesiac has no recollection of his ex-girlfriend, a policeman or an old friend."
tt0311411,kranti,"drama vinodkhanna bobbydeol ameeshapatel ratiagnihotri nareshmalhotra the film takes place in 19th century british india and is the story of the fight for independence from the british in the years spanning from 1825 to 1875. it tells the story of two men who led the war against british rule, sanga and bharat both of whom call themselves kranti."
tt0312664,escape from taliban,"drama thriller war manishakoirala nawabshah vineetamalik prithvizutshi ujjwalchatterjee sushmita and jaanbaz live in india, and they are in love. they intend to marry, but sushmita's family is strongly opposed to the marriage, since jaanbaz is a muslim and they are hindus. but sushmita and jaanbaz do get married, and jaanbaz takes her with him to his country--afghanistan. on the way there, sushmita is horrified to see mutilated corpses, bomb explosions, and armed militants. she is terrified and asks jaanbaz to take her back, but jaanbaz takes her to his home."
tt0312883,kya yehi pyaar hai,comedy musical romance jackieshroff aftabshivdasani ameeshapatel anupamaverma k.muralimohanarao a college slacker pursues the girl of his dreams and will do just about anything to get her to like him.
tt0313395,kitne door... kitne paas,"comedy romance fardeenkhan amritaarora satishshah tikutalsania mehulkumar two young indians, a male named jatin, and a woman named karishma, meet on an airplane, who is on it's way to india. jatin is returning home to get married to a woman named jaya, who has been chosen for him by his mother. karishma is also returning to india to get married to an indian named nimesh. their paths cross, and despite of the difference in their temperaments, both are attracted to each other. both would like to get married, but also realize and stand by their commitment to jaya and nimesh. will they marry the partners intended for them, and thus regret this meeting for the rest of their lives?"
